Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Shortname,Price,Venue Likes,Venue Rating
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4ba3782cf964a520b43f38e3,Dunkin',40.88538419291817,-73.8280987591753,Donut Shop,Donuts,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4e97d1ba4fc674719a2464ff,Dyre Deli Grocery,40.88823525219036,-73.8312823268945,Deli / Bodega,Deli / Bodega,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4c632fbaeb82d13a3c5007d6,Golden Krust Caribbean Restaurant,40.88854318502737,-73.83127757319923,Caribbean Restaurant,Caribbean,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4b513936f964a520e94727e3,BowlerLand,40.88601990111869,-73.82320747767668,Bowling Alley,Bowling Alley,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4c406f2e6c1a9521a042b96a,McDonald's,40.88563631373264,-73.82683955509486,Fast Food Restaurant,Fast Food,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4c8586dfe602b1f70cc9b87a,Dyre Ave Diner,40.887968729082246,-73.83141284372412,Diner,Diner,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4dbf84a24df0f8fd6b88c9b6,Royal Caribbean Bakery,40.888251933965,-73.83145707477787,Caribbean Restaurant,Caribbean,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,51a3a39d498e1de15c43a064,NYW&B Railway - Baychester,40.887882155187874,-73.83116319314648,Platform,Platform,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4e1638e145ddc623eb07573a,MTA Bus - BX 16,40.88790343813609,-73.83125388185631,Bus Station,Bus Station,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4ed4c718a17c52bf7f34bd97,"MTA MaBSTOA & Bee-Line Bus: (Bx16, BL 52, 55)",40.88800860085501,-73.83133279875986,Bus Station,Bus Station,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4c42562fe26920a1e8f65fe7,MTA Subway - Eastchester/Dyre Ave (5),40.88798538407525,-73.83138309969671,Metro Station,Metro,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4deaefa688774880e32afe64,Adil Newsstand & Grocery,40.888433208510854,-73.83127682668768,Convenience Store,Convenience Store,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,56a2caae498e884198638b9a,Freckle's Juice,40.88878559548764,-73.83117532757048,Juice Bar,Juice Bar,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4dabc3dc93a04642f09ccabd,Xing Lung Chinese Restaurant,40.8887854684858,-73.83122576835156,Chinese Restaurant,Chinese,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4d910b425f33b1f759b9657e,NYCT - Y3 Yard Track(s) (5),40.88710840323387,-73.8316011428833,Metro Station,Metro,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4dd85362e4cd37c893c2e3e4,Sunshine Supermarket,40.888868844071744,-73.83128840402118,Deli / Bodega,Deli / Bodega,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4f44d4d419836ed00196d410,Hostess Cakes,40.884688,-73.826647,Bakery,Bakery,-99.0,-99.0,-99.0
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4cc9bf5cdbc376b0228fa4bc,MTA MaBSTOA Bus Bx16 / Bx30 and Bee-line Route 52 / 60 / 61 / 62 at Dyre Ave / Boston Road (US 1),40.88461356066747,-73.83152944427044,Bus Station,Bus Station,-99.0,-99.0,-99.0
Bronx,Fieldston,40.89543742690383,-73.90564259591682,4e4be809c65b851d5ecbfccf,Fieldston Road Circle,40.89448851736085,-73.90562087134356,Plaza,Plaza,-99.0,-99.0,-99.0
Bronx,Fieldston,40.89543742690383,-73.90564259591682,5065d202e4b0de8be83dc0a3,Riverside Drive,40.896507486527454,-73.90826091791374,River,River,-99.0,-99.0,-99.0
Bronx,Fieldston,40.89543742690383,-73.90564259591682,4e763197814ddff25ef75d0b,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,40.89354823043404,-73.90815138816833,Bus Station,Bus Station,-99.0,-99.0,-99.0
